Fecha,instalador,proyecto,camera,Longitude,Latitude,Altitud,altura_suelo,Distancia_deteccion,foto_name,foto_url,Ecosistema
2025-12-03 14:25:00-05:00,Juan David Corrales,WCS-CARDER,CT5,-75.529733,4.699746,2152,50,4,IMG_6823-14_42_32.jpeg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/621511768/attachments/att8UAC6qvuzxTn5m3nMjPHT/,Bosque secundario
2025-12-03 15:13:00-05:00,Juan David Corrales,WCS-CARDER,CT7,-75.533894,4.700543,2127,30,2,IMG_6824-15_11_41.jpeg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/621511971/attachments/attzqTpg49B2nJPZNFUFpx5U/,Bosque secundario
2025-12-04 12:10:00-05:00,Juan David Corrales,WCS-CARDER,CT23,-75.552274,4.711452,2042,50,3,1764868220771.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/624028766/attachments/attBVm6WyCwy63k5xWWaK6yU/,Bosque secundario
2025-12-04 15:53:00-05:00,Juan David Corrales,WCS-CARDER,CT5250,-75.579692,4.737446,1938,60,4,1764881493754.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/624028783/attachments/attH5t9nSwSQApM5KzCzswjE/,Otro tipo de vegetación o ecosistema
2025-12-04 17:21:00-05:00,Juan David Corrales,WCS-CARDER,CT3790,-75.580431,4.734252,1872,100,4,1764886879721.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/624028792/attachments/attAKdLkPyAkbrPRLL5dwBiT/,Otro tipo de vegetación o ecosistema
2025-12-05 09:36:00-05:00,Juan David Corrales,WCS-CARDER,CT5310,-75.5697332,4.7338161,1919.731689453125,70,3,1764945365111.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/624028823/attachments/attgVV4BfyWCVPA3WCafnDga/,Otro tipo de vegetación o ecosistema
2025-12-05 10:28:00-05:00,Juan David Corrales,WCS-CARDER,CT8050,-75.5697906,4.7383702,1930.37890625,100,2,1764948406263.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/624028829/attachments/attfXhNpHipcZGhC4SK7tZrB/,Bosque secundario
2025-12-05 11:30:00-05:00,Juan David Corrales,WCS-CARDER,CT5280,-75.5648138,4.7329842,1907.03759765625,80,4,1764952137269.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/624028838/attachments/attYbzLLwV9Cqd9ahqttbJj8/,Otro tipo de vegetación o ecosistema
2025-12-05 12:07:00-05:00,Juan David Corrales,WCS-CARDER,CT5260,-75.5613445,4.7339182,1969.2060546875,60,3,1764954396258.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/624028849/attachments/attDWWyBNWMSwkzmQsSFmrSu/,Bosque secundario
2025-12-05 07:34:00-05:00,Juan David Corrales,WCS-CARDER,CT3770,-75.584783,4.736859,1823,80,4,image-7_34_8.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625156436/attachments/attDjPEPidufP8CF8vUyh4oT/,Otro tipo de vegetación o ecosistema
2025-12-08 14:26:00-05:00,Juan David Corrales,WCS-CARDER,CT12,-75.4897337,4.7089113,2493.908203125,60,3,1765221911258.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625963489/attachments/attTX8btVoEPyoznayAmJVzY/,Bosque secundario
2025-12-08 15:14:00-05:00,Juan David Corrales,WCS-CARDER,CT8,-75.4943201,4.706718,2449.8056640625,50,2,1765224760121.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625963757/attachments/attHFYK8kjWq2Ufw7WFCWc6t/,Bosque secundario
2025-12-08 16:10:00-05:00,Juan David Corrales,WCS-CARDER,CT6,-75.4961978,4.7096222,2442.989990234375,50,4,1765228156749.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625964053/attachments/atttxmVubDxxhRLNnT9mNaVu/,Otro tipo de vegetación o ecosistema
2025-12-08 16:56:00-05:00,Juan David Corrales,WCS-CARDER,CT7,-75.5034243,4.7056135,2383.0517578125,50,3,1765230959459.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625964207/attachments/attge777SAcHLJUQkPos8yPe/,Bosque secundario
2025-12-08 17:33:00-05:00,Juan David Corrales,WCS-CARDER,CTD01,-75.5083493,4.7066489,2347.7021484375,40,3,1765233157924.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625964397/attachments/atteCM7t46CaH2Szc9TkFpAe/,Bosque secundario
2025-12-08 18:03:00-05:00,Juan David Corrales,WCS-CARDER,CTD02,-75.5136525,4.7089265,2302.895751953125,70,3,1765234941813.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625964853/attachments/attvHsc4tJ7ybPiBKy3cCbcK/,Otro tipo de vegetación o ecosistema
2025-12-08 18:30:00-05:00,Juan David Corrales,WCS-CARDER,CT209,-75.5176008,4.7057026,2261.759765625,20,4,1765236571633.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625965135/attachments/attAktPDjKg7wNSF4y8RNq3f/,Bosque secundario
2025-12-08 19:13:00-05:00,Juan David Corrales,WCS-CARDER,CT52,-75.5242365,4.6991489,2215.658447265625,40,5,1765239183403.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/625965431/attachments/atttTXo9Chnn6Q5BNp4bttC9/,Bosque secundario
2025-12-09 11:52:00-05:00,Juan David Corrales,WCS-CARDER,CT210,-75.5487374,4.7089349,2074.251220703125,50,4,1765299095557.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626252880/attachments/attgH2V3VuA9Ppazeczm3FG7/,Bosque secundario
2025-12-09 13:16:00-05:00,Juan David Corrales,WCS-CARDER,CT206,-75.5577994,4.7103571,2023.06201171875,50,4,1765304167715.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626252917/attachments/attNhKcbqbCaviGYmMqr8cNc/,Bosque secundario
2025-12-09 15:18:00-05:00,Juan David Corrales,WCS-CARDER,CTD04,-75.562802,4.7155679,2024.4677734375,60,4,1765311465645.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626253070/attachments/attUhgB7FhgTzEfZcFP8UfsH/,Bosque secundario
2025-12-09 16:12:00-05:00,Juan David Corrales,WCS-CARDER,CT178,-75.5624899,4.7194234,1962.360595703125,50,4,1765314697461.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626253182/attachments/attFxopbsqx49AMeYYtnLqhL/,Bosque secundario
2025-12-09 12:11:00-05:00,Sebastián Duarte,WCS-CARDER,CTD06,-75.534325,4.700508,2123,60,2,image-12_10_28.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626267126/attachments/att82KHJLSz4YCqEBTybME5G/,Bosque secundario
2025-12-09 12:57:00-05:00,Sebastián Duarte,WCS-CARDER,381,-75.534846,4.704477,2133,70,6,image-12_57_10.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626267147/attachments/attAmN4r3GskCYRWmxDt3hxo/,Bosque secundario
2025-12-09 14:05:00-05:00,Sebastián Duarte,WCS-CARDER,208,-75.538687,4.701791,2130,50,2,image-14_4_37.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626267163/attachments/attHuC4NrNVzBih4dNnpxCQT/,Bosque secundario
2025-12-09 14:57:00-05:00,Sebastián Duarte,WCS-CARDER,CTD03,-75.538802,4.70526,2080,60,2,image-14_56_58.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626267177/attachments/attphEvrPCoaR2gPYTv3ngAC/,Bosque secundario
2025-12-09 15:12:00-05:00,Sebastián Duarte,WCS-CARDER,CTD05,-75.543605,4.707042,2045,50,2,image-15_12_10.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/626267198/attachments/attcYtgKnpAYURDZHTbnX9pg/,Bosque secundario
2025-12-11 12:28:00-05:00,Juan David Corrales,WCS-CARDER,CTD13,-75.565645,4.728717,2078,130,6,image-12_27_50.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/628854732/attachments/attiEcKD5suoC6YT6e7a7sAN/,Bosque secundario
2025-12-11 13:44:00-05:00,Juan David Corrales,WCS-CARDER,CTD10,-75.562784,4.728332,2078,100,4,image-13_43_38.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/628854758/attachments/attx2xwbr57zsWxuFa7Yg9Ja/,Bosque secundario
2025-12-11 15:47:00-05:00,Juan David Corrales,WCS-CARDER,CTD08,-75.558291,4.725788,2209,110,5,image-15_46_27.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/628854775/attachments/attuywLxqK7AJSa5ARLcxdav/,Plantación forestal
2025-12-11 17:49:00-05:00,Juan David Corrales,WCS-CARDER,CTD11,-75.569631,4.7307,1978,80,4,image-17_48_26.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/628854810/attachments/attmdfyLNVxy8By3672FmBgk/,Bosque secundario
2025-12-12 10:47:00-05:00,Juan David Corrales,WCS-CARDER,CTD09,-75.6027593,4.7395003,1820,90,5,,,Otro tipo de vegetación o ecosistema
2025-12-12 11:48:00-05:00,Juan David Corrales,WCS-CARDER,CTD12,-75.598922,4.742617,1750,70,3,,,Bosque secundario
2025-12-15 17:45:00-05:00,Juan Camilo Mantilla,TSG-PNN,Minot01,-75.580238,4.730761,1902,70,15,1765838614037.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/631556287/attachments/attbAXFRBKhjhnNRot6bXzTH/,Bosque secundario
2025-12-16 07:37:00-05:00,Jaime Suarez,TSG-PNN,Minot09,-75.57581,4.73098,1891,50,10,1765888609929.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/631556416/attachments/attXz8Nj7NUCvr5JHke9X6dd/,Bosque secundario
2025-12-16 08:27:00-05:00,Jaime Suarez,TSG-PNN,Minot12,-75.57116,4.72619,1924,60,12,1765891601861.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/631556552/attachments/attcUoCdhAMyQnK6peVg7v4Q/,Bosque secundario
2025-12-16 10:33:00-05:00,Jaime Suarez,TSG-PNN,Minot10,-75.57254,4.72165,2085,60,10,1765899137149.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/631556630/attachments/attaMtXFNxLFMuzMEsthp8hM/,Bosque primario
2025-12-16 11:18:00-05:00,Jaime Suarez,TSG-PNN,Minot08,-75.57586,4.72645,1920,60,12,1765901852433.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/631556779/attachments/attLoARLzC9LBQ4hQKWXKGjE/,Plantación forestal
2025-12-15 10:19:00-05:00,Jaime Suarez,TSG-PNN,CO02,-75.584546,4.730639,1882,50,5,,,Bosque primario
2025-12-15 10:23:00-05:00,Jaime Suarez,TSG-PNN,CO03,-75.580184,4.726238,,50,12,,,Bosque primario
2025-12-16 10:27:00-05:00,Jaime Suarez,TSG-PNN,CO01,-75.566681,4.721686,,60,7,,,Bosque primario
2025-12-16 10:30:00-05:00,Jaime Suarez,TSG-PNN,CO04,-75.566457,4.717854,,50,9,,,Bosque secundario
2025-12-17 10:13:00-05:00,Diego Lizcano ,TSG-PNN,Minot15,-75.58043,4.71255,,60,5,1765984416606.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/633159592/attachments/attRQVL5VWfAyr3PZxdJcdFb/,Plantación forestal
2025-12-17 10:40:00-05:00,Diego Lizcano ,TSG-PNN,Minot05,-75.58511,4.71416,2175,70,5,1765985986307.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/633159767/attachments/attNdjyZpsucibQCwN8yzd8s/,Plantación forestal
2025-12-17 11:09:00-05:00,Diego Lizcano ,TSG-PNN,Minot11,-75.59418,4.717723,2186,50,15,1765987735423.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/633159941/attachments/attTp8tvxH3TTuebCvxxaoMT/,Plantación forestal
2025-12-17 11:32:00-05:00,Diego Lizcano ,TSG-PNN,Minot14,-75.5899,4.71707,2183,60,5,1765989157079.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/633160109/attachments/attecXBQ2r5rgsa3AQdA52VM/,Plantación forestal
2025-12-17 12:26:00-05:00,Diego Lizcano ,TSG-PNN,Cam20,-75.58565,4.72175,2027,70,5,1765992390209.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/633160244/attachments/att4VbyNeGHtCJFUE8to5Xdr/,Bosque primario
2025-12-17 13:26:00-05:00,Diego Lizcano ,TSG-PNN,Minot13,-75.5877,4.72124,1996,100,5,1765995960728.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/633160411/attachments/attoQAD22VQkxKcjHbkJkufw/,Bosque primario
2025-12-17 14:13:00-05:00,Diego Lizcano ,TSG-PNN,Minot16,-75.58643,4.71891,2042,80,9,1765998775794.jpg,https://kf.kobotoolbox.org/api/v2/assets/aqKZxUiMK3F5iUTBU84kzb/data/633160601/attachments/attJSDF4iH9wASw6YMiYgYfu/,Bosque primario
2025-12-17 11:07:00-05:00,Juan Camilo Mantilla ,TSG-PNN,Minot18,-75.566721,4.712789,,60,10,,,Bosque secundario
2025-12-17 13:22:00-05:00,Juan Camilo Mantilla ,TSG-PNN,Cam16,-75.571265,4.712685,,50,5,,,Bosque primario
2025-12-17 14:54:00-05:00,Juan Camilo Mantilla ,TSG-PNN,Cam18,-75.571487,4.71738,2122,50,10,,,Bosque secundario
